Scenario: equal_weights : description: All the families will have the same weight
Canada,Norway,Luxembourg,Switzerland,Sweden,Ireland
1,0.4404761904761904,0.5476190476190476,0.46428571428571425,0.5238095238095237,0.6309523809523809
0.7738095238095238,1,0.5595238095238094,0.6309523809523809,0.6904761904761905,0.8571428571428572
0.6904761904761905,0.6785714285714286,1,0.5357142857142857,0.75,0.8452380952380953
0.761904761904762,0.6904761904761905,0.6190476190476191,1,0.6071428571428571,0.7738095238095238
0.6309523809523809,0.6190476190476191,0.7023809523809524,0.4761904761904761,1,0.7738095238095238
0.6904761904761905,0.4404761904761904,0.3214285714285714,0.38095238095238093,0.38095238095238093,1

Scenario: economic_higher_weight : description: The economic family will have a higher weight than the life family
Canada,Norway,Luxembourg,Switzerland,Sweden,Ireland
1,0.5499999999999999,0.49999999999999994,0.44999999999999996,0.6,0.5499999999999999
0.7500000000000001,1,0.44999999999999996,0.5499999999999999,0.7000000000000001,0.8000000000000002
0.7000000000000001,0.7500000000000001,1,0.5499999999999999,0.8500000000000001,0.8500000000000002
0.8000000000000002,0.7000000000000001,0.6,1,0.65,0.7500000000000001
0.5499999999999999,0.6,0.65,0.39999999999999997,1,0.7500000000000001
0.7000000000000001,0.5499999999999999,0.24999999999999997,0.39999999999999997,0.39999999999999997,1

Scenario: life_higher_weight : description: The life family will have a higher weight than the economic family
Canada,Norway,Luxembourg,Switzerland,Sweden,Ireland
1,0.33095238095238094,0.5952380952380951,0.4785714285714285,0.4476190476190476,0.7119047619047618
0.7976190476190477,1,0.669047619047619,0.7119047619047618,0.680952380952381,0.9142857142857144
0.680952380952381,0.6071428571428571,1,0.5214285714285714,0.65,0.8404761904761905
0.7238095238095238,0.680952380952381,0.638095238095238,1,0.5642857142857143,0.7976190476190477
0.7119047619047618,0.638095238095238,0.7547619047619047,0.5523809523809523,1,0.7976190476190477
0.680952380952381,0.33095238095238094,0.3928571428571428,0.36190476190476184,0.36190476190476184,1

