Scenario: equal_weights : description: All the families will have the same weight
Alternative,normalised_max,normalised_max_min,normalised_sum,normalised_vector
Canada,49.8709128779609,33.32376810324487,42.17799826683371,41.512299861544555
Norway,65.28048846488534,59.05717256148404,47.27540580601374,51.917348098754076
Luxembourg,67.78816322472466,57.57280472119801,47.42895344034705,52.97122193828536
Switzerland,68.83603679010032,69.61917935223534,47.844632396684545,53.6962811170818
Sweden,66.1275486438532,53.65612818599632,47.707220679356695,52.433872004153386
Ireland,54.34334513358985,31.562007114332694,43.75626560124044,44.52224310102632

Scenario: economic_higher_weight : description: The economic family will have a higher weight than the life family
Alternative,normalised_max,normalised_max_min,normalised_sum,normalised_vector
Canada,44.77139418608069,34.98660867787616,49.83126922413603,44.825281493385695
Norway,54.41669687485251,51.34670825274432,53.03265379974486,51.421374338685354
Luxembourg,64.95932977533506,63.93525994301056,55.64249951518305,57.41189292325552
Switzerland,66.66552680121575,73.72611035238874,56.14191335059816,58.47905836797757
Sweden,57.02600375364942,48.303764645580046,54.26035452995785,53.40848064866805
Ireland,48.87162718278906,36.29792107117688,51.09130958038003,47.10936451538497

Scenario: life_higher_weight : description: The life family will have a higher weight than the economic family
Alternative,normalised_max,normalised_max_min,normalised_sum,normalised_vector
Canada,54.970431569841104,31.660927528613595,34.52472730953139,38.199318229703415
Norway,76.14428005491818,66.76763687022375,41.5181578122826,52.413321858822805
Luxembourg,70.61699667411426,51.21034949938548,39.215407365511055,48.53055095331519
Switzerland,71.0065467789849,65.51224835208194,39.547351442770925,48.91350386618603
Sweden,75.22909353405699,59.00849172641261,41.15408682875554,51.45926335963872
Ireland,59.81506308439063,26.826093157488504,36.42122162210086,41.93512168666767

